src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.42.36,192.168.42.211,61650,53,17,2023-11-24 20:05:54,200663.80500793457,1380.4183569081977,14.950379316695281,9.96691954446352,4.98345977223176,2,1,174,103,87.0,87.0,87.0,0.0,103.0,103.0,103.0,0.0,103,87,92.33333333333333,7.542472332656507,56.88888888888889,16,8,8,2,100331.90250396729,109568.83430480957,91094.970703125,9236.931800842285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,92.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,103.0,0,2,1,174,103
192.168.42.36,192.168.42.211,60839,53,17,2023-11-24 20:05:54,200336.93313598633,1442.5697522474811,14.974772514679735,9.983181676453157,4.991590838226578,2,1,174,115,87.0,87.0,87.0,0.0,115.0,115.0,115.0,0.0,115,87,96.33333333333333,13.199326582148888,174.22222222222226,16,8,8,2,100168.46656799316,109568.83430480957,90768.09883117676,9400.367736816406,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,96.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,115.0,0,2,1,174,115
192.168.42.36,192.168.42.211,58461,53,17,2023-11-24 20:06:15,254765.98739624023,934.1906367973527,11.775512228538059,7.85034148569204,3.92517074284602,2,1,148,90,74.0,74.0,74.0,0.0,90.0,90.0,90.0,0.0,90,74,79.33333333333333,7.542472332656507,56.88888888888889,16,8,8,2,127382.99369812012,163239.0022277832,91526.98516845703,35856.008529663086,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,79.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,90.0,0,2,1,148,90
192.168.42.36,192.168.42.211,55518,53,17,2023-11-24 20:06:15,254152.0595550537,983.6630890879942,11.80395706905593,7.869304712703953,3.9346523563519766,2,1,148,102,74.0,74.0,74.0,0.0,102.0,102.0,102.0,0.0,102,74,83.33333333333333,13.199326582148888,174.22222222222226,16,8,8,2,127076.02977752686,163180.11283874512,90971.9467163086,36104.08306121826,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,83.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,102.0,0,2,1,148,102
192.168.42.36,192.168.42.211,57569,53,17,2023-11-24 20:06:15,156243.08586120605,1862.4824157563125,19.200849646972294,12.800566431314863,6.400283215657431,2,1,160,131,80.0,80.0,80.0,0.0,131.0,131.0,131.0,0.0,131,80,97.0,24.041630560342615,578.0,16,8,8,2,78121.54293060303,97090.00587463379,59153.079986572266,18968.46294403076,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,97.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,131.0,0,2,1,160,131
192.168.42.36,192.168.42.211,53904,53,17,2023-11-24 20:06:15,167417.04940795898,1809.8515119667102,17.9193219006605,11.946214600440332,5.973107300220166,2,1,160,143,80.0,80.0,80.0,0.0,143.0,143.0,143.0,0.0,143,80,101.0,29.698484809834994,882.0,16,8,8,2,83708.52470397949,96694.9462890625,70722.10311889648,12986.421585083008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,101.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,143.0,0,2,1,160,143
192.168.42.36,192.168.42.211,50889,53,17,2023-11-24 20:06:15,189895.8683013916,2380.251893014397,26.330220055468995,15.798132033281396,10.532088022187597,3,2,235,217,80.0,75.0,78.33333333333333,2.357022603955158,126.0,91.0,108.5,17.5,126,75,90.4,18.55370582929459,344.24,24,16,8,3,47473.9670753479,92061.99645996094,22176.98097229004,28391.532759891736,167718.88732910156,92061.99645996094,75656.89086914062,83859.44366455078,8202.552795410156,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,90.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.33333333333333,108.5,0,3,2,235,217
192.168.42.36,192.168.42.211,52799,53,17,2023-11-24 20:06:15,192888.0214691162,2467.753032949294,25.92177555619006,15.553065333714036,10.368710222476023,3,2,235,241,80.0,75.0,78.33333333333333,2.357022603955158,138.0,103.0,120.5,17.5,138,75,95.2,23.506594819326768,552.5600000000001,24,16,8,3,48222.00536727905,108480.21507263184,9130.95474243164,39950.72742396881,183757.06672668457,108480.21507263184,75276.85165405273,91878.53336334229,16601.68170928955,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,95.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.33333333333333,120.5,0,3,2,235,241
192.168.42.36,192.168.42.211,57442,53,17,2023-11-24 20:06:16,296509.0274810791,1612.092569527254,16.86289298668676,10.117735792012056,6.745157194674703,3,2,247,231,84.0,79.0,82.33333333333333,2.357022603955158,119.0,112.0,115.5,3.5,119,79,95.6,16.49969696691427,272.24,24,16,8,3,74127.25687026978,99010.94436645508,36092.04292297363,23274.48535519456,197498.08311462402,114107.13195800781,83390.95115661621,98749.04155731201,15358.0904006958,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,95.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.33333333333333,115.5,0,3,2,247,231
192.168.42.36,192.168.42.211,60616,53,17,2023-11-24 20:06:16,296078.9203643799,1614.4344197544783,16.887389327975715,10.132433596785429,6.754955731190285,3,2,247,231,84.0,79.0,82.33333333333333,2.357022603955158,131.0,100.0,115.5,15.5,131,79,95.6,19.064102391667962,363.44000000000005,24,16,8,3,74019.73009109497,99009.99069213867,35895.10917663574,23357.43298497897,197068.9296722412,113480.0910949707,83588.83857727051,98534.4648361206,14945.626258850098,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,95.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.33333333333333,115.5,0,3,2,247,231
