src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.137.1,239.255.255.250,49871,1900,17,2023-11-25 00:48:51,2150973.081588745,302.65371778579413,1.3947175934829223,1.3947175934829223,0.0,3,0,651,0,217.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,217,217,217.0,0.0,0.0,24,0,8,3,1075486.5407943726,1228708.9824676514,922264.0991210938,153222.4416732788,2150973.081588745,1228708.9824676514,922264.0991210938,1075486.5407943726,153222.4416732788,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,3,0,651,0
192.168.137.67,20.44.10.122,53170,443,6,2023-11-25 00:48:52,588967.8001403809,10509.912423946793,28.86405673781833,13.583085523679214,15.280971214139116,8,9,5552,638,1514.0,54.0,694.0,653.3791012880654,160.0,54.0,70.88888888888889,34.616773212625134,1514,54,364.11764705882354,546.1332397601655,298261.51557093434,160,180,20,7,36810.487508773804,272143.1255340576,0.0,86084.18330600484,582126.8558502197,328701.9729614258,0.0,83160.97940717425,132956.76464836745,580829.8587799072,300968.88542175293,0.0,72603.7323474884,123759.65794344281,0,0,0,0,1,0,0,0,0,0,0,1.125,364.11764705882354,1021,2717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5078.0,6.0,0.0,0.0,22094061.941908713,0.0,694.0,70.88888888888889,0,8,9,5552,638
192.168.137.67,192.168.137.1,53839,53,17,2023-11-25 00:48:56,3292.083740234375,54069.09849362688,607.5179606025492,303.7589803012746,303.7589803012746,1,1,74,104,74.0,74.0,74.0,0.0,104.0,104.0,104.0,0.0,104,74,89.0,15.0,225.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,89.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,104.0,0,1,1,74,104
192.168.137.67,142.250.193.4,50479,443,17,2023-11-25 00:48:56,4835305.92918396,3208.2768344335313,4.343055084323094,1.447685028107698,2.895370056215396,7,14,1868,13645,1292.0,73.0,266.85714285714283,419.0306598299831,1292.0,67.0,974.6428571428571,447.3513491561602,1292,67,738.7142857142857,550.6986162924277,303268.9659863945,56,112,8,7,241765.296459198,2371690.9885406494,0.0,560307.6754100862,389324.9034881592,225735.18753051758,147.81951904296875,64887.4839146932,78776.2263240108,4709325.075149536,2371690.9885406494,0.0,362255.7750115028,664050.4391877851,0,0,0,0,1,0,0,0,0,0,0,2.0,738.7142857142857,0,0,0.0,0.0,0.0,0.0,1218652.0099639893,1153038.9785766602,1185845.4942703247,32806.51569366455,0.0,0.0,5826.0,6.0,0.0,58906.094313333175,266.85714285714283,974.6428571428571,0,7,14,1868,13645
192.168.137.206,224.0.0.251,5353,5353,17,2023-11-25 00:49:03,921252.0122528076,184.53148295902884,2.1709586230473983,2.1709586230473983,0.0,2,0,170,0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,85,85,85.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0,2,0,170,0
192.168.137.67,34.120.214.181,53246,443,6,2023-11-25 00:49:05,3077.0301818847656,39323.63117929645,649.9773748644042,324.9886874322021,324.9886874322021,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,1020,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.137.67,172.64.150.28,53215,443,6,2023-11-25 00:49:12,3974.91455078125,30440.90595009597,503.15547024952014,251.57773512476007,251.57773512476007,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,1023,1268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.137.67,64.233.170.188,53163,5228,6,2023-11-25 00:49:13,81675.05264282227,1481.4805266077005,24.487281431532242,12.243640715766121,12.243640715766121,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,1023,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.137.67,140.82.113.26,53048,443,6,2023-11-25 00:49:02,15339066.982269287,43.22296791365303,0.6519301344442388,0.2607720537776955,0.39115808066654323,4,6,262,401,99.0,54.0,65.5,19.345542122153102,95.0,54.0,66.83333333333333,15.34510417762689,99,54,66.3,17.070735192135107,291.41,80,120,20,2,1704340.7758076985,14984025.955200195,0.0,4696275.4743321715,15335885.047912598,14991036.891937256,143.0511474609375,5111961.682637532,6986977.219344543,15332319.021224976,14984025.955200195,0.0,3066463.804244995,5960234.614684766,0,0,0,0,1,0,0,0,0,0,0,1.5,66.3,508,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,66.83333333333333,0,4,6,262,401
20.207.73.85,192.168.137.67,443,53256,6,2023-11-25 00:49:19,5010.128021240234,120755.39735414485,1796.361282954221,997.9784905301228,798.3827924240982,5,4,333,272,93.0,54.0,66.6,16.144348856488453,110.0,54.0,68.0,24.24871130596428,110,54,67.22222222222223,20.164753505823406,406.61728395061726,100,80,20,2,626.2660026550293,2379.894256591797,25.033950805664062,806.5257822667695,5010.128021240234,2836.942672729492,143.0511474609375,1252.5320053100586,1047.2241621702951,931.0245513916016,518.0835723876953,193.11904907226562,310.3415171305339,147.29976714939647,0,0,0,0,1,0,0,0,0,0,0,0.8,67.22222222222223,131,1026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6,68.0,0,5,4,333,272
192.168.137.67,192.168.137.1,62034,53,17,2023-11-25 00:49:21,9098463.05847168,89.5755683968123,0.6594520372771457,0.32972601863857287,0.32972601863857287,3,3,242,573,91.0,75.0,80.66666666666667,7.3181661333667165,346.0,75.0,191.0,114.02046599916467,346,75,135.83333333333334,97.82879035448728,9570.472222222223,24,24,8,3,1819692.611694336,7371050.834655762,3883.1233978271484,2851709.387664239,9094579.935073853,7383018.016815186,1711561.918258667,4547289.967536926,2835728.0492782593,9085406.064987183,7374933.958053589,1710472.1069335938,4542703.032493591,2832230.9255599976,0,0,0,0,0,0,0,0,0,0,0,1.0,135.83333333333334,0,0,0.0,0.0,0.0,0.0,5672545.909881592,1698504.92477417,3685525.417327881,1987020.492553711,0.0,0.0,0.0,0.0,0.0,0.0,80.66666666666667,191.0,0,3,3,242,573
